Image Path;Common Name;Scientific Name;Photo URL;Author;License;License Link;Title;;
0.png;Pipevine swallowtail;Battus philenor;https://commons.wikimedia.org/wiki/File:Battus_philenor_Pipevine_Swallowtail.jpg;John Flannery;CC BY-SA 2.0;https://creativecommons.org/licenses/by-sa/2.0/deed.en;Battus philenor Pipevine Swallowtail.jpg;;
1.png;Zebra swallowtail;Eurytides marcellus;https://commons.wikimedia.org/wiki/File:Zebra_Swallowtail._Eurytides_marcellus_(27273178979).jpg;gailhampshire;CC BY 2.0;https://creativecommons.org/licenses/by/2.0/deed.en;Zebra Swallowtail. Eurytides marcellus (27273178979).jpg;;
2.png;Black swallowtail;Papilio polyxenes;https://commons.wikimedia.org/wiki/File:Eastern_black_swallowtail_(72098).jpg;Rhododendrites;CC BY-SA 4.0;https://creativecommons.org/licenses/by-sa/4.0/deed.en;Eastern black swallowtail (72098).jpg;;
3.png;Anise swallowtail;Papilio zelicaon;https://commons.wikimedia.org/wiki/File:SWALLOWTAIL,_ANISE_(Papilio_zelicaon)_(3-8-09)_canet_rd,_morro_bay,_slo_co,_ca_(9420714987).jpg;ALAN SCHMIERER;CC0 1.0;https://creativecommons.org/publicdomain/zero/1.0/deed.en;SWALLOWTAIL, ANISE (Papilio zelicaon) (3-8-09) canet rd, morro bay, slo co, ca (9420714987).jpg;;
4.png;Giant swallowtail;Papilio cresphontes;https://commons.wikimedia.org/wiki/File:SWALLOWTAIL,_GIANT_(Papilio_cresphontes)_(3-7-13)_key_west_tropical_forest_and_botanical_garden,_key_west,_monroe_co,_fl_(1)_(16099769600).jpg;ALAN SCHMIERER;CC0 1.0;https://creativecommons.org/publicdomain/zero/1.0/deed.en;SWALLOWTAIL, GIANT (Papilio cresphontes) (3-7-13) key west tropical forest and botanical garden, key west, monroe co, fl (1) (16099769600).jpg;;
5.png;Tiger swallowtail;Papilio glaucus;https://commons.wikimedia.org/wiki/File:Papilio_glaucus_(female_eastern_tiger_swallowtail_butterfly)_(Newark,_Ohio,_USA)_(17064412419).jpg;James St. John;CC BY 2.0;https://creativecommons.org/licenses/by/2.0/deed.en;Papilio glaucus (female eastern tiger swallowtail butterfly) (Newark, Ohio, USA) (17064412419).jpg;;
6.png;Western tiger swallowtail;Papilio rutulus;https://commons.wikimedia.org/wiki/File:Cherry_blossoms_Lake_Balboa_(20140330-0239).jpg;Nandaro;CC BY-SA 3.0;https://creativecommons.org/licenses/by-sa/3.0/deed.en;Cherry blossoms Lake Balboa (20140330-0239).jpg;;
7.png;Spicebush swallowtail ;Papilio troilus;https://commons.wikimedia.org/wiki/File:Spicebush_Swallowtail_-_Papilio_troilus,_Okeefenokee_National_Wildlife_Refuge,_Folkston,_Georgia.jpg;Judy Gallagher;CC BY 2.0;https://creativecommons.org/licenses/by/2.0/deed.en;Spicebush Swallowtail - Papilio troilus, Okeefenokee National Wildlife Refuge, Folkston, Georgia.jpg;;
8.png;Checkered white;Pontia protodice;https://commons.wikimedia.org/wiki/File:WHITE,_CHECKERED_(Pontia_protodice)_(6-5-13)_lincoln_co,_nevada_(1)_(9420841647).jpg;ALAN SCHMIERER;CC0 1.0;https://creativecommons.org/publicdomain/zero/1.0/deed.en;WHITE, CHECKERED (Pontia protodice) (6-5-13) lincoln co, nevada (1) (9420841647).jpg;;
9.png;Veined white;Pieris napi;https://commons.wikimedia.org/wiki/File:Green-veined_white_butterfly_(Pieris_napi)_underside_worn_first.jpg;Charles J. Sharp;CC BY-SA 4.0;https://creativecommons.org/licenses/by-sa/4.0/deed.en;Green-veined white butterfly (Pieris napi) underside worn first.jpg;;
10.png;Cabbage white;Pieris rapae;https://commons.wikimedia.org/wiki/File:Small_white_(Pieris_rapae)_Pt.jpg;Charles J. Sharp;CC BY-SA 4.0;https://creativecommons.org/licenses/by-sa/4.0/deed.en;Small white (Pieris rapae) Pt.jpg;;
11.png;Sara Orange-tip;Anthocharis sara;https://commons.wikimedia.org/wiki/File:ORANGETIP,_PACIFIC_(Anthocharis_sara)_(3-17-2016)_male,_morro_bay,_san_luis_obispo_co,_ca_(14)_(26192054885).jpg;ALAN SCHMIERER;CC0 1.0;https://creativecommons.org/publicdomain/zero/1.0/deed.en;ORANGETIP, PACIFIC (Anthocharis sara) (3-17-2016) male, morro bay, san luis obispo co, ca (14) (26192054885).jpg;;
12.png;Clouded sulphur;Colias philodice;https://commons.wikimedia.org/wiki/File:Colias_philodice_2522308.jpg;Bill Keim;CC BY 4.0;https://creativecommons.org/licenses/by/4.0/deed.en;Colias philodice 2522308.jpg;;
13.png;Orange sulphur;Colias eurytheme;https://commons.wikimedia.org/wiki/File:SULPHUR,_ORANGE_(Colias_eurytheme)_(10-25-12)_male,_harshaw_creek_rabbitbrush,_scc,_az_(9423821332).jpg;ALAN SCHMIERER;CC0 1.0;https://creativecommons.org/publicdomain/zero/1.0/deed.en;SULPHUR, ORANGE (Colias eurytheme) (10-25-12) male, harshaw creek rabbitbrush, scc, az (9423821332).jpg;;
14.png;Southern dogface;Zerene cesonia;https://commons.wikimedia.org/wiki/File:Southern_dogface_(Zerene_cesonia)_dorsal.jpg;Anne Toal;CC BY 2.0;https://creativecommons.org/licenses/by/2.0/deed.en;Southern dogface (Zerene cesonia) dorsal.jpg;;
15.png;Cloudless sulphur;Phoebis sennae;https://commons.wikimedia.org/wiki/File:Cloudless_sulphur_(Phoebis_sennae_sennae)_female_underside.jpg;Charles J. Sharp;CC BY-SA 4.0;https://creativecommons.org/licenses/by-sa/4.0/deed.en;Cloudless sulphur (Phoebis sennae sennae) female underside.jpg;;
16.png;Little yellow;Pyrisitia lisa;https://commons.wikimedia.org/wiki/File:Little_yellow_(Pyrisitia_lisa_centralis)_male_underside_Belize.jpg;Charles J. Sharp;CC BY-SA 4.0;https://creativecommons.org/licenses/by-sa/4.0/deed.en;Little yellow (Pyrisitia lisa centralis) male underside Belize.jpg;;
17.png;Harvester;Feniseca tarquinius;https://commons.wikimedia.org/wiki/File:Harvester_-_Feniseca_tarquinius,_Leesylvania_State_Park,_Woodbridge,_Virginia_-_24972368196.jpg;Judy Gallagher;CC BY 2.0;https://creativecommons.org/licenses/by/2.0/deed.en;Harvester - Feniseca tarquinius, Leesylvania State Park, Woodbridge, Virginia - 24972368196.jpg;;
18.png;Little copper;Lycaena phlaeas;https://commons.wikimedia.org/wiki/File:Small_copper_(Lycaena_phlaeas)_underside_Bulgaria.jpg;Charles J. Sharp;CC BY-SA 4.0;https://creativecommons.org/licenses/by-sa/4.0/deed.en;Small copper (Lycaena phlaeas) underside Bulgaria.jpg;;
19.png;Purplish copper;Lycaena helloides;https://commons.wikimedia.org/wiki/File:COPPER,_PURPLISH_(lycaena_helloides)_(8-7-08)_fem,_blanco_creek,_co_(9424454288).jpg;ALAN SCHMIERER;CC0 1.0;https://creativecommons.org/publicdomain/zero/1.0/deed.en;COPPER, PURPLISH (lycaena helloides) (8-7-08) fem, blanco creek, co (9424454288).jpg;;
20.png;Coral hairstreak;Satyrium titus;https://commons.wikimedia.org/wiki/File:Satyrium_titus_297783654.jpg;Jake McCumber;CC BY-SA 4.0;https://creativecommons.org/licenses/by-sa/4.0/deed.en;Satyrium titus 297783654.jpg;;
21.png;Banded hairstreak;Satyrium calanus;https://commons.wikimedia.org/wiki/File:Banded_Hairstreak_-_Satyrium_calanus_(48357814442).jpg;Christina Butler;CC BY 2.0;https://creativecommons.org/licenses/by/2.0/deed.en;Banded Hairstreak - Satyrium calanus (48357814442).jpg;;
22.png;Olive hairstreak;Callophrys gryneus;https://commons.wikimedia.org/wiki/File:Callophrys_gryneus_(6545329375).jpg;khteWisconsin;PDM 1.0;https://creativecommons.org/publicdomain/mark/1.0/;Callophrys gryneus (6545329375).jpg;;
23.png;Brown elfin;Callophyrus augustinas;https://commons.wikimedia.org/wiki/File:ELFIN,_BROWN_(Callophyrus_augustinas)_(2-14-2016)_upper_humboldt_cyn,_patagonia_mountains,_santa_cruz_co,_az_-01_(24570666983).jpg;ALAN SCHMIERER;CC0 1.0;https://creativecommons.org/publicdomain/zero/1.0/deed.en;ELFIN, BROWN (Callophyrus augustinas) (2-14-2016) upper humboldt cyn, patagonia mountains, santa cruz co, az -01 (24570666983).jpg;;
24.png;Gray hairstreak;Strymon melinus;https://commons.wikimedia.org/wiki/File:Gray_hairstreak_-_Strymon_melinus_(44668553120).jpg;Christina Butler;CC BY 2.0;https://creativecommons.org/licenses/by/2.0/deed.en;Gray hairstreak - Strymon melinus (44668553120).jpg;;
25.png;Eastern tailed blue;Cupido comyntas;https://commons.wikimedia.org/wiki/File:Eastern_Tailed-blue.jpg;D. Gordon E. Robertson;CC BY-SA 3.0;https://creativecommons.org/licenses/by-sa/3.0/deed.en;Eastern Tailed-blue.jpg;;
